order_id,customer_id,order_date,total_amount,status
0,3692,2024-09-03,547.7160076008001,Shipped
1,11055,2024-08-10,577.8942599188381,Pending
2,6963,2024-08-22,484.2085562764487,Pending
3,13268,2024-09-01,366.3286882431848,Cancelled
4,1131,2024-08-09,896.9588380686909,Pending
5,15211,2024-05-03,486.30584827618145,Shipped
6,3209,2024-08-24,800.9795667933956,Shipped
7,15964,2024-11-24,641.3521833737843,Cancelled
8,9697,2024-06-18,789.1864475667901,Delivered
9,8917,2024-09-01,878.8901928499223,Shipped
10,68,2024-02-01,250.90701173471632,Pending
11,2826,2024-10-22,830.3870224465686,Pending
12,436,2024-03-16,723.8916744984356,Pending
13,17191,2024-07-22,565.4621691131047,Cancelled
14,16938,2024-03-31,549.5139113791525,Pending
15,13254,2024-10-28,318.3055446959585,Delivered
16,8107,2024-01-26,545.2292782609134,Cancelled
17,14662,2024-04-16,390.50606498059494,Cancelled
18,17007,2024-09-26,889.9218191968122,Delivered
19,15730,2024-07-24,586.2554183766008,Pending
20,13743,2024-04-07,306.03955079810424,Cancelled
21,6990,2024-06-30,152.93058831932356,Cancelled
22,7741,2024-01-08,697.0451679710573,Pending
23,3516,2024-06-15,668.0685604928779,Shipped
24,4908,2024-01-15,366.45306613613286,Shipped
25,11465,2024-09-16,170.55118992718954,Cancelled
26,2909,2024-07-11,719.0175352737818,Pending
27,10286,2024-06-11,277.69074418564924,Shipped
28,11518,2024-01-06,863.3904152155532,Cancelled
29,3906,2024-04-24,728.9672722718852,Cancelled
30,8476,2024-03-06,893.4693207660687,Cancelled
31,15550,2024-08-26,984.7463742140947,Cancelled
32,17005,2024-04-04,347.6048353916699,Delivered
33,12035,2024-06-29,509.0224775981844,Cancelled
34,430,2024-07-29,409.73842008919723,Shipped
35,3922,2024-01-19,86.81831054596024,Shipped
36,13841,2024-01-13,410.92014753495323,Delivered
37,14707,2024-05-03,449.3591047874076,Delivered
38,1381,2024-09-20,181.66137922767365,Pending
39,331,2024-11-13,884.4794129961473,Cancelled
40,3671,2024-04-01,299.51260136320053,Delivered
41,13185,2024-12-12,760.9945945033103,Cancelled
42,15737,2024-02-25,85.50702049065004,Shipped
43,14905,2024-04-26,39.78766092067246,Shipped
44,1396,2024-10-20,995.5307931339479,Delivered
45,7379,2024-12-27,131.7880944630557,Cancelled
46,7539,2024-11-24,768.2003983924354,Pending
47,726,2024-09-27,608.4716137109658,Shipped
48,6562,2024-03-02,458.4233323912599,Shipped
49,9505,2024-07-07,46.5514807850754,Cancelled
50,2516,2024-10-28,335.34241149018425,Pending
