customer_id,name,city,state,country,registration_date,is_active
0,Customer_0,Pune,Maharashtra,India,2023-06-29,False
1,Customer_1,Bangalore,Tamil Nadu,India,2023-12-07,True
2,Customer_2,Hyderabad,Gujarat,India,2023-10-27,True
3,Customer_3,Bangalore,Karnataka,India,2023-10-17,False
4,Customer_4,Ahmedabad,Karnataka,India,2023-03-14,False
5,Customer_5,Hyderabad,Karnataka,India,2023-07-28,False
6,Customer_6,Pune,Delhi,India,2023-08-29,False
7,Customer_7,Ahmedabad,West Bengal,India,2023-12-28,True
8,Customer_8,Pune,Karnataka,India,2023-06-22,True
9,Customer_9,Mumbai,Telangana,India,2023-01-05,True
10,Customer_10,Pune,Gujarat,India,2023-08-05,True
11,Customer_11,Delhi,West Bengal,India,2023-08-02,False
12,Customer_12,Chennai,Gujarat,India,2023-11-21,False
13,Customer_13,Chennai,Karnataka,India,2023-11-06,True
14,Customer_14,Hyderabad,Tamil Nadu,India,2023-02-07,False
15,Customer_15,Mumbai,Gujarat,India,2023-03-02,True
16,Customer_16,Chennai,Karnataka,India,2023-04-05,False
17,Customer_17,Hyderabad,West Bengal,India,2023-08-21,False
18,Customer_18,Pune,Delhi,India,2023-10-04,True
19,Customer_19,Kolkata,Gujarat,India,2023-02-05,True
20,Customer_20,Hyderabad,Telangana,India,2023-01-01,True
21,Customer_21,Bangalore,Tamil Nadu,India,2023-05-30,True
22,Customer_22,Chennai,West Bengal,India,2023-08-03,True
23,Customer_23,Chennai,Maharashtra,India,2023-02-15,False
24,Customer_24,Kolkata,Karnataka,India,2023-03-06,False
25,Customer_25,Pune,Tamil Nadu,India,2023-01-06,False
26,Customer_26,Delhi,Delhi,India,2023-03-22,True
27,Customer_27,Ahmedabad,Gujarat,India,2023-07-08,True
28,Customer_28,Hyderabad,Maharashtra,India,2023-05-31,True
29,Customer_29,Delhi,Gujarat,India,2023-05-28,False
30,Customer_30,Hyderabad,Karnataka,India,2023-01-28,False
31,Customer_31,Kolkata,Tamil Nadu,India,2023-06-14,False
32,Customer_32,Delhi,Telangana,India,2023-05-15,False
